"Fund ID","Fund name","The fund",Website,"Investment name","Investment type","Start date","End date","Instrument currency","USD Amount","Project number",Sector,"Sub sector",Region,Country,Domicile,"Environmental and social risk","Our Investment","Environmental and social summary",What,"How Primary","How Secondary","Who Stakeholder 1","Who Geography 1","Who Characteristics 1","Who Stakeholder 2","Who Geography 2","Who Characteristics 2","Who Stakeholder 3","Who Geography 3","Who Characteristics 3",Scale,Depth/Duration,Gridscore,Contribution/Additionality,"Risk 1","Risk comment 1","Risk 2","Risk comment 2","Risk 3","Risk comment 3","Sustainable Development Goals","Impact Achieved","Impact Score","Expected impact","2X Gender Finance","2X Gender Finance Percentage","2X Sector","2X Country","Climate Finance status","Climate Finance Percentage","Climate Finance type","Climate Finance Total","Climate Finance Adaptation Enabling","Climate Finance Adaptation Adapted","Climate Finance Mitigation","Climate Finance Dual","Climate Finance Percentage Adaptation Enabling","Climate Finance Percentage Adaptation Adapted","Climate Finance Percentage Mitigation","Climate Finance Percentage Dual","Fossil Fuel or Renewable Exposure","Primary Energy type","Energy value chain","Entrepreneurship Founder","Entrepreneurship Founder threshold","Entrepreneurship Owner","Entrepreneurship Owner threshold","Leadership Board of Directors Investment Committee","Leadership Board of Directors Investment Committee threshold","Leadership Senior Management","Leadership Senior Management threshold",Employment,"Employment threshold","Indirect Portfolio","Indirect Portfolio threshold","Governance and accountability","Supply chain","Product and services","Product and services threshold","First disclosed date","Investment policy","Last updated",Status
F65,"Abraaj Pakistan Fund I LP","The Fund will focus on the country’s small to medium-sized companies.",https://www.deloitte.com/global/en.html,"Investment 01",Fund,20/12/2015,,USD,25000000.0000,D51,"Business and consumer services, Infrastructure",,"South Asia",Pakistan,"Cayman Islands",,"In 2016, CDC invested $25 million into the Fund, alongside USAID (which invested $24m) and a number of private investors. The fund reached a total size of $91m and the manager is looking to make investments of between $5 and $40 million. Our investment will provide growth capital for Pakistan’s small to medium-sized enterprises (SMEs).",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pakistan can be a difficult place to do business. Transport and infrastructure are weak, there is a severe shortage of power, and multiple administrative challenges. However, there is steady economic growth, driven by rising consumer demand from a growing middle class and retail-hungry millennials. Our investment aims to tap into the potential for growth among Pakistan’s SMEs, particularly those operating in consumer-driven sectors, such as education, healthcare, utilities, (renewable energy), transport, and retail.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F5,"Access Microfinance Holding AG","AccessHolding ( AH) owns a network of MFIs in developing countries with a target group focus on micro loans and small and medium-sized enterprises. CDC holds a 12.3% stake in AHs network comprises ten MFIs (3 in Central Asia, 6 in Africa, 1 in South America), with aggregated assets of over EUR 839m, #545k outstanding loans and approx. 6,900 employees",,"Investment 01",Fund,14/05/2007,,EUR,4721841.2400,D2,"Financial services",,"Rest of the World","Azerbaijan, Brazil, Georgia, Liberia, Madagascar, Mozambique, Nigeria, Rwanda, Tajikistan, Tanzania, Zambia",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F5,"Access Microfinance Holding AG","AccessHolding ( AH) owns a network of MFIs in developing countries with a target group focus on micro loans and small and medium-sized enterprises. CDC holds a 12.3% stake in AHs network comprises ten MFIs (3 in Central Asia, 6 in Africa, 1 in South America), with aggregated assets of over EUR 839m, #545k outstanding loans and approx. 6,900 employees",,"Investment 02",Fund,31/12/2010,,EUR,2319808.9000,D2,"Financial services",,"Rest of the World","Azerbaijan, Brazil, Georgia, Liberia, Madagascar, Mozambique, Nigeria, Rwanda, Tajikistan, Tanzania, Zambia",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F5,"Access Microfinance Holding AG","AccessHolding ( AH) owns a network of MFIs in developing countries with a target group focus on micro loans and small and medium-sized enterprises. CDC holds a 12.3% stake in AHs network comprises ten MFIs (3 in Central Asia, 6 in Africa, 1 in South America), with aggregated assets of over EUR 839m, #545k outstanding loans and approx. 6,900 employees",,"Investment 03",Fund,22/03/2012,,EUR,2035160.0500,D1,"Financial services",,"Rest of the World","Azerbaijan, Brazil, Georgia, Liberia, Madagascar, Mozambique, Nigeria, Rwanda, Tajikistan, Tanzania, Zambia",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F5,"Access Microfinance Holding AG","AccessHolding ( AH) owns a network of MFIs in developing countries with a target group focus on micro loans and small and medium-sized enterprises. CDC holds a 12.3% stake in AHs network comprises ten MFIs (3 in Central Asia, 6 in Africa, 1 in South America), with aggregated assets of over EUR 839m, #545k outstanding loans and approx. 6,900 employees",,"Investment 04",Fund,18/09/2014,,EUR,2205200.6600,D1,"Financial services",,"Rest of the World","Azerbaijan, Brazil, Georgia, Liberia, Madagascar, Mozambique, Nigeria, Rwanda, Tajikistan, Tanzania, Zambia",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F5,"Access Microfinance Holding AG","AccessHolding ( AH) owns a network of MFIs in developing countries with a target group focus on micro loans and small and medium-sized enterprises. CDC holds a 12.3% stake in AHs network comprises ten MFIs (3 in Central Asia, 6 in Africa, 1 in South America), with aggregated assets of over EUR 839m, #545k outstanding loans and approx. 6,900 employees",,"Investment 05",Fund,06/10/2015,,EUR,2502024.6200,D1,"Financial services",,"Rest of the World","Azerbaijan, Brazil, Georgia, Liberia, Madagascar, Mozambique, Nigeria, Rwanda, Tajikistan, Tanzania, Zambia",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F5,"Access Microfinance Holding AG","AccessHolding ( AH) owns a network of MFIs in developing countries with a target group focus on micro loans and small and medium-sized enterprises. CDC holds a 12.3% stake in AHs network comprises ten MFIs (3 in Central Asia, 6 in Africa, 1 in South America), with aggregated assets of over EUR 839m, #545k outstanding loans and approx. 6,900 employees",,"Investment 06",Fund,20/02/2017,,EUR,2506799.6900,D1,"Financial services",,"Rest of the World","Azerbaijan, Brazil, Georgia, Liberia, Madagascar, Mozambique, Nigeria, Rwanda, Tajikistan, Tanzania, Zambia",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F2097,"Accion Digital Transformation Fund","Accion Digital Transformation Fund (“ADTx”) will invest growth equity for minority stakes in c. 10 companies that lend to underbanked and unbanked populations and MSMEs in South Asia, Africa, Southeast Asia and Latin America.",https://www.accion.org/,"Investment 01",Fund,17/04/2023,,USD,20000000.0000,D4998,"Financial services",,"Africa, Asia","Colombia, India, Indonesia, Peru",USA,Medium-Low,"Backing an experienced fund manager to invest in the digitisation of microfinance platforms to support improved financial inclusion, management and resilience, and increase economic opportunities. ADTx will leverage its Accion’s advisory services business, GLAS, to provide strategic support to investee companies to undergo digital transformations. The primary benefits of digitally transforming will be deeper customer engagement which will ultimately enable the FIs to offer needs-driven products to their clients.","Our focus is on the continued development of the manager’s ESMS, with an additional focus on climate change risk identification and management, and safeguarding. We agreed an ESAP focused on updates to internal safeguarding and grievance mechanisms, the establishment of an ESG committee and the engagement of a dedicated internal ESG resource.","Improved financial inclusion, management and resilience and improved economic opportunities via access to credit and digitization of FIs","Direct: By injecting capital into MFPs, Accion will support business growth, expansion to new products and potentially to new customers. GLAS will conduct a digital readiness assessment and implementation roadmap as part of Accion’s DD prior to making investments. Accion, as a shareholder, would aim to bring consensus among all stakeholders on the digitisation strategy and guide the management team through their digitisation journey. Through digitisation, MFPs will improve operational efficiencies (e.g., payment integration, automated credit approvals) that will allow them to scale and improve customer experience: this is expected to result in more relevant and accessible financial products to customers. Individual customers are expected to see improvement in financial inclusion, management, and resilience, and MSE customers are expected to see business growth.","Catalysing markets: While the extent of this impact will vary by region (e.g., more in Africa but less in India), demonstrating the commercial case of digitisation of MFPs can bring more strategic focus and resources for digitisation. As competitors see the benefits of digitisation (i.e., increased customer engagement, reduced operating expenses), they are likely to also adopt digitisation. Accion has a track record to help build this market by partnering with credible organisations such as the Mastercard Foundation, running sector-leading conferences and producing widely quoted reports on digital transformation.",Customers,"~30% Africa, ~40% South Asia and ~30% SE Asia","Expected to be >30% low-income individuals and 50-70% of customers are expected to be women.",,,,,,,"Potential for large-scale reach to customer segments given focus on digital channels.","Given the focus of MFPs is on un(der)served segments, the impact is expected to be more accessible and relevant products for their customers",,"Financial: Given the lack of scalable, profitable standalone MFPs, especially across Africa, DFI capital is still required. In addition, BII’s capital will help bring the fund to its target close size. Value Add: Improved impact monitoring for reach to low-income Mobilisation: n/a","Execution Risk","Investing in Africa and digitisation plans not being implemented","Alignment Risk","Investments with limited depth of impact or contribution","Unexpected Impact Risk","Customer protection","Goal 1: No poverty,Goal 8: Decent work and economic growth",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,01/10/2023,01/06/2025,Active
F79,"Actis Africa 3 LP","Large cap private equity fund with a regional focus on Africa",https://www.act.is/,"Investment 01",Fund,14/12/2007,,USD,150000000.0000,D53,"Business and consumer services, Financial services, Manufacturing",,Africa,"Africa, Democratic Republic of Congo, Egypt, South Africa","United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F7,"Actis Africa Real Estate Fund 2 LP","Actis Africa Real Estate Fund 2 (ARE2) is a $278 million fund that specialises in greenfield real estate investments. It focuses on retail and office sectors, residential and mixed-use development properties across sub-Saharan Africa",https://www.act.is/,"Investment 01",Fund,24/05/2011,,USD,50000000.0000,D3,"Construction and real estate",,Africa,"Ghana, Kenya, Mozambique, Nigeria, Zambia","United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F7,"Actis Africa Real Estate Fund 2 LP","Actis Africa Real Estate Fund 2 (ARE2) is a $278 million fund that specialises in greenfield real estate investments. It focuses on retail and office sectors, residential and mixed-use development properties across sub-Saharan Africa",https://www.act.is/,"Investment 02",Fund,28/09/2012,,USD,75000000.0000,D4,"Construction and real estate",,Africa,"Ghana, Kenya, Mozambique, Nigeria, Zambia","United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
F83,"Actis Africa Real Estate Fund 3","The Actis Africa Real Estate Fund 3 (ARE3) is the largest private real estate fund targeting sub-Saharan Africa raised in the market to date.  Its predecessor funds are ARE1 and ARE2. The latter, which closed in 2012, raised $278 million. CDC played an anchor role in both predecessor funds.",https://www.act.is/,"Investment 01",Fund,25/08/2015,,USD,50000000.0000,D57,"Construction and real estate",,"Africa, Central Africa, East Africa, North Africa, West Africa","Africa, Cameroon, Cote d'Ivoire, East Africa, Kenya, Morocco, Nigeria",England,,"In 2015, CDC committed $65m to ARE3, alongside the IFC and endowments from Africa, Asia, Europe and North America.  The fund has a total size of $506 million. Our investment will support residential, retail, office and industrial developments in the capitals of several sub-Saharan African markets.","The fund manager has a well-established approach to environmental and social management and we will continue to support and monitor its approach as the portfolio grows.",,,,,,,,,,,,,,,,,,,,,,,,,,"Rapid urbanisation and population growth are boosting the number of people in Africa's cities and driving the demand for real estate, both business and residential. Mixed-use developments have been able to help meet this demand. Our investment will enable the fund manager to support the development of real estate in Kenya, Nigeria, Ivory Coast, Cameroon, Mozambique, Zambia and Ghana. Actis has also created Garden City, a mixed-use urban development in the eastern suburbs of Nairobi, that incorporates office, residential and retail space. It has received LEED building certification for the retail and Green Star rating for the residential portion of the project. Actis also set up a vocational project, to train 120 unskilled workers from IFC of the World Bank Group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,01/06/2025,Active
