"Fund ID","Fund name","Company name","Company ID",Region,Country,Sector,Status,"Fossil fuel or renewable exposure","Start Date","End date"
F1971,"SCB Funded Risk Participation - Sierra Leone",Afrigas,C6061,"West Africa","Sierra Leone",Infrastructure,Exited,,01/01/2018,31/12/2018
F1983,"Cardinalstone Capital Advisers Growth Fund","AfyA Care Nigeria",C7703,"West Africa",Nigeria,Health,Active,,31/12/2021,
F978,"Omnivore Partners India Fund 2","Agnext Technologies Private Limited",C6198,"South Asia",India,"Technology and telecoms",Active,,28/03/2018,
F1950,"pi Ventures Fund I","Agnikul Cosmos Private Ltd",C6610,"South Asia",India,Manufacturing,Active,,31/03/2020,
F2425,"3one4 Capital IFSC Fund","Agnit Semiconductors Private Limited",C9777,"South Asia",India,"Construction and real estate",Active,,30/09/2024,
F589,"Frontier PE (Cayman) L.P.","Agora Ltd",C6062,"South Asia",Bangladesh,"Business and consumer services",Active,,14/09/2009,
F18,"Capital Alliance Property Investment Company LP","Agora Mall Ltd",C2299,"West Africa",Nigeria,"Construction and real estate",Active,,01/12/2011,
F755,"Injaro Agricultural Capital Holdings Ltd","Agricare Limited",C2302,"West Africa",Ghana,"Food and agriculture",Exited,,01/04/2015,31/03/2024
F1188,"Takura II",Agricom,C2303,"Southern Africa",Zimbabwe,"Food and agriculture",Exited,,27/03/2014,31/03/2016
F978,"Omnivore Partners India Fund 2","Agrigators Enterprises Private Limited (""E-Feed"")",C7902,"South Asia",India,"Food and agriculture",Active,,13/10/2021,
F2278,"India Quotient Fund IV","Agrihawk Technologies Pvt. Ltd",C9815,"South Asia",India,"Food and agriculture",Active,,30/06/2024,
F978,"Omnivore Partners India Fund 2","Agrim Wholesale Pvt. Ltd",C6819,"South Asia",India,"Technology and telecoms",Active,,26/05/2020,
F2278,"India Quotient Fund IV","Agrim Wholesale Pvt. Ltd",C6819,"South Asia",India,"Technology and telecoms",Active,,31/03/2024,
F2073,"Ankur Capital II","Agrizy – Bizcovery Private Ltd",C7934,"South Asia",India,"Food and agriculture",Active,,31/03/2022,
F978,"Omnivore Partners India Fund 2","Agrizy – Bizcovery Private Ltd",C7934,"South Asia",India,"Food and agriculture",Active,,31/03/2022,
F2242,"Omnivore Agritech & Climate Sustainability Fund III","Agrizy – Bizcovery Private Ltd",C7934,"South Asia",India,"Food and agriculture",Active,,30/09/2024,
F2274,"Pi Ventures Fund II","Ahammune Biosciences Pvt. Ltd",C9730,"South Asia",India,Health,Active,,24/09/2024,
F161,"African Infrastructure Investment Fund III","AIIM Hydroneo",C2309,"North Africa, Southern Africa, West Africa","Ghana, Mali, Morocco, South Africa",Infrastructure,Active,Renewable,30/06/2017,
F1950,"pi Ventures Fund I","AIPalette PTE Ltd",C7139,"South Asia",India,"Technology and telecoms",Exited,,30/07/2021,31/03/2025
F1950,"pi Ventures Fund I","Aiquire Inc (Pyxis)",C6935,"South Asia",India,"Technology and telecoms",Active,,30/11/2020,
F768,"Ninety One Africa Credit Opportunities Fund (Investec)","Air Rwanda",C6557,"East Africa",Rwanda,"Business and consumer services",Exited,,01/12/2019,31/12/2024
F2002,"Techxila Fund I","Airlift Technologies Pte Ltd. (“Airlift”)",C7160,"South Asia",Pakistan,"Technology and telecoms",Exited,,30/09/2021,30/06/2023
F1232,"TLCom TIDE Africa Fund",Ajua,C6820,"East Africa",Kenya,"Technology and telecoms",Active,,06/10/2017,
F1959,"Mediterrania Capital III LP",Akdital,C6611,"North Africa",Morocco,Health,Active,,19/03/2020,
F22,"DI Frontier Market Energy & Carbon Fund","Akiira One Geothermal Company Ltd",C2310,"East Africa",Kenya,Infrastructure,Active,Renewable,30/09/2013,
F2006,"Incofin India Progress Fund I","Akshamaala Solutions Private Limited (Unnati)",C7614,"South Asia",India,"Food and agriculture",Active,,30/11/2021,
F644,"Growth Catalyst Partners","AkshayaKalpa Farms and Foods Private Limited",C6377,"South Asia",India,"Food and agriculture",Exited,,30/09/2019,31/03/2024
F1970,"Lok Capital Growth Fund","AkshayaKalpa Farms and Foods Private Limited",C6377,"South Asia",India,"Food and agriculture",Exited,,30/09/2019,31/03/2024
F2306,"Africa Go Green Fund for Renewable Energy and Energy Efficiency S.C.S., SICAV - RAIF","AktivCo Burkina Faso",C9912,"West Africa","Burkina Faso",Manufacturing,Active,,30/09/2024,
F2306,"Africa Go Green Fund for Renewable Energy and Energy Efficiency S.C.S., SICAV - RAIF","AktivCo Cameroon",C9911,"Central Africa",Cameroon,Manufacturing,Active,,30/09/2024,
F2306,"Africa Go Green Fund for Renewable Energy and Energy Efficiency S.C.S., SICAV - RAIF","AktivCo Chad",C9913,"Central Africa",Chad,Manufacturing,Active,,30/09/2024,
F2306,"Africa Go Green Fund for Renewable Energy and Energy Efficiency S.C.S., SICAV - RAIF","AktivCo Cote d'Ivoire",C9914,"West Africa","Cote d'Ivoire",Manufacturing,Active,,30/09/2024,
F2306,"Africa Go Green Fund for Renewable Energy and Energy Efficiency S.C.S., SICAV - RAIF","AktivCo Niger",C9915,"West Africa",Niger,Manufacturing,Active,,30/09/2024,
F2306,"Africa Go Green Fund for Renewable Energy and Energy Efficiency S.C.S., SICAV - RAIF","AktivCo Senegal",C9916,"West Africa",Senegal,Manufacturing,Active,,30/09/2024,
F551,"Ezdehar Egypt Mid-Cap Fund","Al Tayseer HC Group",C6936,"North Africa",Egypt,Health,Active,,27/08/2020,
F2123,"SUSI Asia Energy Transition Fund","Alba Renewables Philippines Pvt. Ltd",C9656,"Rest of the World",Philippines,Infrastructure,Active,,30/06/2024,
F161,"African Infrastructure Investment Fund III","Albatros Energy",C2315,"West Africa",Mali,Infrastructure,Active,"Fossil Fuel",30/06/2017,
F2079,"Circulate Capital Ocean Fund I-B","Algenesis Corp",C9672,"Rest of the World",USA,Health,Active,,14/09/2021,
F1593,"Pravega Ventures Fund I","Algiz Consultancy Services Pvt Limited (Zipsure)",C6821,"South Asia",India,"Financial services",Exited,,31/03/2018,31/12/2020
F1135,"COVID-19 Energy Access Relief Fund, B.V.","All in Trade Limited",X0002,"East Africa",Uganda,Infrastructure,Active,,09/03/2022,
F238,"Ascent Rift Valley Fund I","Allcent Global Corporation",C2318,"East Africa",Ethiopia,Manufacturing,Active,,13/03/2017,
F18,"Capital Alliance Property Investment Company LP","Alliance Estate Limited",C2319,"West Africa",Ghana,"Construction and real estate",Active,,21/01/2010,
F759,"Insitor Impact Asia Fund Private Limited","Alliance for Microfinance in Myanmar Limited",C2320,"Rest of the World",Myanmar,"Financial services",Active,,03/01/2017,
F1985,"Stellaris Venture Partners India I","Allround Development Ptd Ltd",C6937,"South Asia",India,"Technology and telecoms",Exited,,31/12/2020,30/06/2023
F1978,"Sawari Ventures North Africa Fund I Cooperatief U.A.","Almentor Holdings",C6558,"North Africa",Egypt,Education,Active,,06/12/2019,
F2070,"Chiratae Ventures International Fund IV","Alpha Digital Health Pvt Ltd",C6938,"South Asia",India,Health,Exited,,01/11/2020,19/10/2024
F2242,"Omnivore Agritech & Climate Sustainability Fund III","Alt Material Innovations Private Limited",C9504,"South Asia",India,"Food and agriculture",Active,,31/03/2024,
F1135,"COVID-19 Energy Access Relief Fund, B.V.","Altech Group SARL",X0003,"Central Africa",Congo,Infrastructure,Active,,21/06/2022,
F1945,"Evolution II Fund","Alten Africa",C6559,Africa,Africa,Infrastructure,Active,Renewable,05/03/2018,
F1945,"Evolution II Fund","Alten Hardap",C6560,"Southern Africa",Namibia,Infrastructure,Exited,Renewable,05/03/2018,31/12/2024
F1945,"Evolution II Fund","Alten Kesses",C6561,"East Africa",Kenya,Infrastructure,Active,Renewable,20/12/2019,
F1315,"Aavishkaar Emerging India Fund","Altum Credo Home Finance Pvt Ltd",C5899,"South Asia",India,"Financial services",Active,,30/04/2018,
F211,"Amicus Capital Partners Private Equity I","Altum Credo Home Finance Pvt Ltd",C5899,"South Asia",India,"Financial services",Active,,18/11/2021,
F2103,"Aavishkaar India Fund VI","Altum Credo Home Finance Pvt Ltd",C5899,"South Asia",India,"Financial services",Active,,09/04/2024,
F1906,"Takura III","Amalgamated Brands",C7930,"Southern Africa",Zimbabwe,"Food and agriculture",Active,,12/04/2022,
F161,"African Infrastructure Investment Fund III","Amandi Energy",C967,"West Africa",Ghana,Infrastructure,Active,"Fossil Fuel",31/12/2017,
F2410,"Micro, Small & Medium Enterprises Bonds S.A.",AMK,C2332,"Rest of the World",Cambodia,"Financial services",Active,,24/03/2023,
F1135,"COVID-19 Energy Access Relief Fund, B.V.","Amped Innovation PBC",X0004,"West Africa",Senegal,Infrastructure,Active,,09/03/2022,
F2306,"Africa Go Green Fund for Renewable Energy and Energy Efficiency S.C.S., SICAV - RAIF","Ampersand Rwanda Ltd",C9917,"East Africa",Rwanda,Manufacturing,Active,,30/09/2024,
F2447,"Southeast Asia Clean Energy Fund II","Ampotech Pte. Ltd.",C10031,"Rest of the World","Indonesia, Philippines, Vietnam",Infrastructure,Active,,31/03/2025,
F1981,"Adjuvant Global Health Technology Fund LP","AN2 Therapeutics",C7172,"Rest of the World",Global,Health,Active,,01/11/2019,
F589,"Frontier PE (Cayman) L.P.","Ananta Apparels Limited",C2338,"South Asia",Bangladesh,Manufacturing,Active,,16/05/2011,
F2073,"Ankur Capital II","Anantm Technologies Pvt Ltd (Numen)",C7258,"South Asia",India,Health,Active,,18/02/2021,
F2283,"Ancile Trade Access Program Sub-Fund","Ancile - Food Security (FS) Facility",C8998,"West Africa","Burkina Faso, Cote d'Ivoire, Liberia, Senegal, Togo","Financial services",Active,,31/12/2022,
F2283,"Ancile Trade Access Program Sub-Fund","Ancile - Trade Access (TA) Facility",C6553,"East Africa, Southern Africa, West Africa","Cote d'Ivoire, Kenya, Senegal, South Africa, Tanzania, Togo, Zambia","Financial services",Active,,30/04/2022,
F1232,"TLCom TIDE Africa Fund",Andela,C6822,Africa,Africa,Education,Active,,31/10/2017,
F2046,"Africa Renewable Energy Fund II","Angola Hydro",C7873,"Central Africa",Angola,Infrastructure,Active,Renewable,15/12/2021,
F139,"Africa Renewable Energy Fund","Angola Hydro",C7873,"Central Africa",Angola,Infrastructure,Exited,Renewable,30/06/2023,30/06/2023
F978,"Omnivore Partners India Fund 2","Animall Technologies Private Limited",C6939,"South Asia",India,"Food and agriculture",Active,,25/11/2020,
F2059,"COVID-19 Emerging and Frontier Market MSME Support Fund","Annapurna Finance Private Limited",C6969,"South Asia",India,"Financial services",Active,,09/01/2021,
F2097,"Accion Digital Transformation Fund","Annapurna Finance Private Limited",C6969,"South Asia",India,"Financial services",Active,,22/12/2023,
F484,"Dynamic India Fund S4 I","Anthea Group",C5173,"South Asia",India,Manufacturing,Exited,,31/05/2017,31/10/2024
F553,"Faering Capital Fund III","Anthem BioSciences - Viridy Tone",C7375,"South Asia",India,Health,Active,,30/06/2021,
F1981,"Adjuvant Global Health Technology Fund LP","Antiva Biosciences, Inc.",C7611,"Rest of the World",Global,Health,Active,,01/10/2021,
F1023,"Plenty Private Equity Fund I (Multiples II)","APAC Financial Services Private Limited",C6063,"South Asia",India,"Financial services",Active,,31/12/2018,
F18,"Capital Alliance Property Investment Company LP","APD Ltd",C2345,"West Africa",Nigeria,"Construction and real estate",Active,,01/12/2011,
F2068,"Summit Private Equity Fund","Apex Surgi-Centre Proprietary Limited",C7265,"Southern Africa","South Africa",Health,Active,,10/11/2021,
F2198,"Equator Africa Fund","Apollo Agriculture, Inc.",C7787,"East Africa",Kenya,"Financial services",Active,,30/06/2023,
F1983,"Cardinalstone Capital Advisers Growth Fund",Appzone,C6940,"West Africa",Nigeria,"Technology and telecoms",Active,,24/12/2020,
F2184,"TIDE Africa II LP",Appzone,C6940,"West Africa",Nigeria,"Technology and telecoms",Active,,10/11/2023,
F139,"Africa Renewable Energy Fund",APSD,C2347,"West Africa",Ghana,Infrastructure,Exited,,24/10/2016,31/12/2023
F1135,"COVID-19 Energy Access Relief Fund, B.V.","Aptech Africa Limited",X0005,"East Africa",Uganda,Infrastructure,Active,,01/03/2022,
F1135,"COVID-19 Energy Access Relief Fund, B.V.","Aptech Africa Limited-Loan II",X0006,"East Africa",Uganda,Infrastructure,Active,,31/08/2022,
F978,"Omnivore Partners India Fund 2","Aqgromalin Farmtech Services Private Limited",C7660,"South Asia",India,"Food and agriculture",Active,,17/09/2021,
F844,"Lighthouse India Fund III, Limited","Aqualite Industries Private Ltd",C6064,"South Asia",India,Manufacturing,Active,,30/11/2018,
F2199,"Vantage Mezzanine IV Pan African Sub-Fund","Aquasantec International Limited",C9030,"East Africa, Southern Africa","Kenya, Rwanda, Uganda, Zambia","Business and consumer services",Active,,23/06/2023,
F861,"Maghreb Private Equity Fund IV",ArabyAds,C8043,"North Africa",Egypt,"Technology and telecoms",Active,,26/07/2022,
F351,"Capital Alliance Private Equity IV (CAPE IV)","Aradel Holdings Plc",C3532,"West Africa",Nigeria,Infrastructure,Active,"Fossil Fuel",29/06/2016,
F1135,"COVID-19 Energy Access Relief Fund, B.V.","Aress Sas",X0007,"West Africa",Benin,Infrastructure,Active,,16/03/2023,
F2483,"Revego Africa Energy Fund",Aries,C9943,"Southern Africa","South Africa",Infrastructure,Active,,05/10/2023,
F2278,"India Quotient Fund IV",Arise,C9479,"South Asia",India,"Technology and telecoms",Active,,30/09/2023,
F2274,"Pi Ventures Fund II","Arkle Energy Solutions Private Limited",C9978,"South Asia",India,Infrastructure,Active,,31/03/2025,
F832,"Leapfrog Financial Inclusion Fund II","ARM Pension Managers Ltd.",C5900,"West Africa",Nigeria,"Financial services",Exited,,01/06/2018,31/12/2022
F1135,"COVID-19 Energy Access Relief Fund, B.V.","Arnergy Solar Limited",X0008,"West Africa",Nigeria,Infrastructure,Active,,18/11/2022,
F57,"Aavishkaar Goodwell India Microfinance Development Company II Limited","Arohan Financial Services Limited",C6970,"South Asia",India,"Financial services",Active,,05/09/2012,
F1920,"Phatisa Food Fund 2","Artcaffé Group Limited",C9884,"East Africa",Kenya,"Business and consumer services",Active,,19/11/2024,
F2006,"Incofin India Progress Fund I","Arthan Finance Pvt. Ltd",C9648,"South Asia",India,"Financial services",Active,,14/05/2024,
F1593,"Pravega Ventures Fund I","Arthashastra Fintech Private Limited (ePayLater)",C6941,"South Asia",India,"Financial services",Active,,31/12/2020,
F1172,"Stellaris Venture Partners II","Arthvit 1809 Tech Private Limited (Rupicard)",C8650,"South Asia",India,Manufacturing,Active,,31/12/2022,
F2273,"Pravega Ventures Fund II","ArtistFirst Technologies Inc.",C8601,"South Asia",India,"Business and consumer services",Active,,31/12/2022,
F1023,"Plenty Private Equity Fund I (Multiples II)","Arvind Ltd",C2357,"South Asia",India,Manufacturing,Exited,,31/12/2016,30/09/2024
F978,"Omnivore Partners India Fund 2","Arya Collateral Warehousing Private Limited",C6612,"South Asia",India,"Business and consumer services",Active,,04/03/2020,
F709,"India Agri Business Fund II Limited","Nature Bio Foods",C6100,"Rest of the World",Indonesia,Infrastructure,Exited,,30/11/2018,31/03/2025
F2079,"Circulate Capital Ocean Fund I-B","Arzeda Corp.",C9671,"Rest of the World",USA,Health,Active,,12/07/2021,
F2059,"COVID-19 Emerging and Frontier Market MSME Support Fund","ASA (Kenya) Limited",C7922,"East Africa",Kenya,"Financial services",Active,,07/12/2021,
F2059,"COVID-19 Emerging and Frontier Market MSME Support Fund","ASA Microfinance (Tanzania) Ltd",C7415,"East Africa",Tanzania,"Financial services",Active,,31/03/2021,
F726,"India Infrastructure Fund II (Singapore) PTE. LTD.","Ascend Telecom Infrastructure Pvt Ltd",C2359,"South Asia",India,"Technology and telecoms",Active,,31/03/2017,
F351,"Capital Alliance Private Equity IV (CAPE IV)","Ashwah Holdings Limited",C5901,"West Africa",Nigeria,"Business and consumer services",Active,,07/06/2018,
F2123,"SUSI Asia Energy Transition Fund","Asia Clean Capital Vietnam",C9091,"Rest of the World",Vietnam,Infrastructure,Active,Renewable,30/06/2023,
F1938,"Amethis Fund II S.C.A SICAR","ASK Gras Savoye",C8887,"North Africa",Morocco,"Financial services",Active,,30/06/2023,
F2425,"3one4 Capital IFSC Fund","Aspiring Brands Pvt Ltd",C10020,"South Asia",India,"Business and consumer services",Active,,31/03/2025,
F2043,"SDG Outcomes Fund","ASRH Kenya DIB",C9057,"East Africa",Kenya,Health,Active,,30/09/2023,
F2259,"Blume Ventures India Fund IV","Asset 10 Software Private Limited",C8902,"South Asia",India,"Technology and telecoms",Active,,30/06/2022,
F1135,"COVID-19 Energy Access Relief Fund, B.V.","ATEC Australia-Int. Pty Ltd",X0009,"Southeast Asia",Cambodia,Infrastructure,Active,,04/04/2022,
F2259,"Blume Ventures India Fund IV","Atomicwork Inc.",C8938,"Rest of the World",USA,"Technology and telecoms",Active,,03/04/2023,
F269,"Aureos South Asia Fund (Holdings) LLC","Auro Mira Energy Company Pvt Ltd",C2388,"South Asia",India,Infrastructure,Active,,30/09/2010,
F2062,"3one4 Capital - Fund III","AuroGreen Health Pvt Ltd",C8634,"South Asia",India,Health,Active,,01/09/2022,
F2483,"Revego Africa Energy Fund","Aurora Wind Power",C9946,"Southern Africa","South Africa",Infrastructure,Active,,05/10/2023,
F564,"Fibonacci India Fund Co Limited (Phi Capital)","AuthBridge Research Services Private Limited",C7621,"South Asia",India,"Construction and real estate",Active,,31/12/2021,
F238,"Ascent Rift Valley Fund I","Auto Springs Mauritius Ltd",C5653,"East Africa",Kenya,Manufacturing,Active,,28/03/2018,
F2240,"Norrsken22 Fund (D) AB",Autochek,C8688,Africa,Africa,"Technology and telecoms",Active,,31/12/2022,
F1971,"SCB Funded Risk Participation - Sierra Leone","Automotive Supplies",C6065,"West Africa","Sierra Leone","Business and consumer services",Exited,,01/01/2018,31/12/2018
F53,"A4C S Feeder LP","AutoXpress International Limited",C2392,"East Africa",Kenya,"Business and consumer services",Exited,,01/01/2014,20/04/2022
F2069,"AfricInvest Fund IV","AutoXpress International Limited",C2392,"East Africa",Kenya,"Business and consumer services",Active,,01/04/2022,
F2265,"Elevar India V","AV Financial Experts Network Pvt Ltd",C9936,"South Asia",India,Health,Active,,18/12/2024,
F1938,"Amethis Fund II S.C.A SICAR","Avacare Global",C7131,Africa,"Southern Africa",Health,Active,,30/09/2021,
F63,"GHF Fund LP","Avicenna Healthcare 1 Pak (Project Rome)",C2395,"South Asia",Pakistan,Health,Exited,,22/02/2017,30/06/2019
F2017,"Evercare Health Fund","Avicenna Healthcare 1 Pak (Project Rome)",C2395,"South Asia",Pakistan,Health,Active,,20/06/2019,
F755,"Injaro Agricultural Capital Holdings Ltd",AviNiger,C2396,"West Africa",Niger,"Food and agriculture",Active,,30/06/2017,
F759,"Insitor Impact Asia Fund Private Limited","Aviom India Housing Finance",C5654,"South Asia",India,"Financial services",Exited,,26/01/2018,31/12/2020
F2059,"COVID-19 Emerging and Frontier Market MSME Support Fund","Aviom India Housing Finance",C5654,"South Asia",India,"Financial services",Active,,04/05/2021,
F1270,"Ventureast proactive Fund II","AVR Edge Networks Pvt Ltd",C5581,"South Asia",India,"Technology and telecoms",Active,,03/12/2017,
F2425,"3one4 Capital IFSC Fund","Awaaz Labs Private Limited",C9997,"South Asia",India,"Technology and telecoms",Active,,31/12/2024,
F52,"8 Miles","Awash Wine Share Company",C2398,"East Africa",Ethiopia,"Food and agriculture",Exited,,01/09/2013,30/09/2024
F211,"Amicus Capital Partners Private Equity I","Awign Enterprises Private Limited",C8088,"South Asia",India,Manufacturing,Exited,,12/09/2022,30/06/2024
F2193,"Blue Orchard Insuresilience Fund II","Axinan Pte Ltd",C9734,"Rest of the World","Southeast Asia, Vietnam","Financial services",Active,,30/09/2024,
